{s=832250, t=IN, id=383}
{s=206795728, t=IN, id=39}
{s=206855824, t=OUT, id=380}
{s=206863871, t=OUT, id=22}
{s=206864063, t=IN, id=351}
{s=207040584, t=OUT, id=111}
{s=207161619, t=OUT, id=281}
{s=207386652, t=OUT, id=11}
{s=207390299, t=OUT, id=351}
{s=207426910, t=OUT, id=178}
{s=207435436, t=OUT, id=337}
{s=207440085, t=OUT, id=329}
{s=207479847, t=OUT, id=179}
{s=207537779, t=OUT, id=278}
{s=207619263, t=IN, id=120}
{s=207620804, t=OUT, id=260}
{s=207645598, t=OUT, id=372}
{s=207759443, t=IN, id=81}
{s=207919066, t=OUT, id=120}
{s=207982734, t=OUT, id=81}
{s=208011846, t=OUT, id=39}
{s=208046549, t=IN, id=296}
{s=208058865, t=OUT, id=100}
{s=208072306, t=OUT, id=296}
{s=208162953, t=IN, id=394}
{s=208202345, t=OUT, id=289}
{s=208212407, t=OUT, id=394}
{s=208240964, t=OUT, id=12}
